Timestamp,What is your age? ,What is your gender? ,What is your Employment Status? ,What is your favorite sport to watch/consume? ,What time of year do you consume the most sports? ,When is your favorite time of day to watch sport? ,Where is your favorite place to watch sports? ,Who do you like watching sports with the most? ,Why do you engage with sports? ,Why do you engage with sports at the time that you do? ,Why do you engage with sports where you do? 
1/23/2026 8:38:18,51-60,Female,Full-Time,College Football,November & December,3pm - 6pm,At home,Family,Entertainment and Fun,It is when they are live,Convenience and Comfort
1/23/2026 8:38:36,51-60,Female,Full-Time,College Football,September & October,3pm - 6pm,At a restaurant or bar with friends,"Wife/ Husband, or Girlfriend/ Boyfriend",Entertainment and Fun,It is when they are live,Atmosphere and Experience
1/23/2026 8:41:00,10-20,Female,College/ Unemployed,College Football,November & December,6-pm - 9pm,At a friends house,Friends,Entertainment and Fun,It relaxes/ entertains you before or after the day,Atmosphere and Experience
1/23/2026 8:51:11,21-30,Male,Full-Time,College Football,November & December,6-pm - 9pm,At home,Friends,Sense of Identity and Pride with a Team,It is at a time when you are most around others,Convenience and Comfort
1/23/2026 9:00:17,10-20,Female,College/ Unemployed,Soccer Professional Leagues,May & June,3pm - 6pm,At home,Family,Competition and Drama,It is when you are free,Convenience and Comfort
1/23/2026 9:07:56,41-50,Female,Full-Time,NFL,January & February,3pm - 6pm,At home,Family,Emotional Connection,It is when they are live,Convenience and Comfort
1/23/2026 9:11:32,21-30,Male,Full-Time,College Football,November & December,6-pm - 9pm,At the game itself (like in the stadium),Friends,Entertainment and Fun,It is when they are live,Atmosphere and Experience
1/23/2026 9:36:08,21-30,Female,Full-Time,MLB,November & December,6-pm - 9pm,At a restaurant or bar with friends,"Wife/ Husband, or Girlfriend/ Boyfriend",Entertainment and Fun,It is when they are live,Atmosphere and Experience
1/23/2026 9:58:17,21-30,Male,College/ Unemployed,NFL,November & December,6-pm - 9pm,At home,Family,Sense of Identity and Pride with a Team,It is when they are live,Convenience and Comfort
1/23/2026 12:18:49,10-20,Male,College/ Part Time,College Football,September & October,6-pm - 9pm,At the game itself (like in the stadium),Friends,Emotional Connection,It relaxes/ entertains you before or after the day,Atmosphere and Experience
1/23/2026 12:40:41,81-90,Male,Retired,Baseball,November & December,6-pm - 9pm,At home,Family,Entertainment and Fun,It is when they are live,Convenience and Comfort
1/23/2026 16:31:03,51-60,Male,Part-Time,Golf,May & June,3pm - 6pm,At home,Family,Sense of Identity and Pride with a Team,It is when they are live,Convenience and Comfort
1/26/2026 10:13:35,21-30,Male,College/ Part Time,College Football,September & October,6-pm - 9pm,At home,Alone,Competition and Drama,It is when they are live,Convenience and Comfort
